Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,01/24/2018 06:30:51 PM,01/24/2018 06:37:59 PM,,,,,,Portland Oregon,USA,1982,Bachelor degree,Male,Running,Daily 30 minutes i was running in the morning ,I do not feel hindered or do not have a physical disability.,Swimming,Weekly twice i was swimming,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Expert or professional,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/24/2018 06:10:24 PM,01/24/2018 06:16:20 PM,,,,,,"Arlington, VA",USA,1986,Bachelor degree,Male,Biking,Riding a bicycle along trails through parks.,I do not feel hindered or do not have a physical disability.,Jogging,Jogging along trails in the park.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q8}} admits somewhat more creativity than {{Q5}}.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,01/24/2018 05:53:04 PM,01/24/2018 06:07:25 PM,,,,,,North Dakota,USA,1987,Some college but no degree,Female,Gym,Went to gym at my apartment complex. I went on the treadmill.,I do not feel hindered or do not have a physical disability.,Hike,I went on a 5 mile walk.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 05:57:25 PM,01/24/2018 05:59:41 PM,,,,,,Lakeland Fl,USA,1982,Some college but no degree,Male,walking,Long Distance,I do not feel hindered or do not have a physical disability.,Running,Long distance ,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q8}} involves somewhat more of my body than {{Q5}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/24/2018 05:55:36 PM,01/24/2018 06:00:08 PM,,,,,,"Sharpsville, PA",USA,1984,Bachelor degree,Male,running,"I typically run one to two miles most days, outside if nice out or on  the treadmill.",I do not feel hindered or do not have a physical disability.,weight lifting,I complete a lifting program on alternating days.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/24/2018 05:53:57 PM,01/24/2018 05:57:46 PM,,,,,,"Livonia, MI",USA,1978,Bachelor degree,Female,swimming,I swam in an adult swim meet,I do not feel hindered or do not have a physical disability.,horseback riding,horse show with my equestrian club,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present much more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has much more chance of serious physical injury compare to {{Q5}}.,Yes
,,01/24/2018 05:24:58 PM,01/24/2018 05:31:42 PM,,,,,,"Los Angeles, CA",USA,1995,Some college but no degree,Female,Mountain biking,Mountain biking ,I do not feel hindered or do not have a physical disability.,running,cross country running,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a somewhat more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 04:48:05 PM,01/24/2018 04:52:27 PM,,,,,,,CA,1987,Associate degree,Female,yoga,"yin yoga, restorative yoga, kundalini yoga",I do not feel hindered or do not have a physical disability.,walking,power walking,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Expert or professional,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q5}} permits much more control than {{Q8}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 04:42:34 PM,01/24/2018 04:44:54 PM,,,,,,Stockton CA,USA,1993,"High school degree or equivalent (e.g., GED)",Male,Football,AMerican football,I do not feel hindered or do not have a physical disability.,Gym,Strength Training ,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,,{{Q8}} brings me into the present somewhat more than {{Q5}}.,Both require about the same extent of effort (both either effortless or effortful).,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,No
,,01/24/2018 04:34:22 PM,01/24/2018 04:47:41 PM,,,,,,"Portland,OR",USA,1979,Bachelor degree,Male,Rugby,I played an intramural rugby game.,I do not feel hindered or do not have a physical disability.,Swimming,I swam at my local gym,I do not feel hindered or do not have a physical disability.,Group,Solo,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q8}} has much more clear goals than {{Q5}}.,Both offer roughly equally immediate feedback.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits much more control than {{Q5}}.,Both bring me into the present to a roughly equal extent.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 04:18:25 PM,01/24/2018 04:23:49 PM,,,,,,"Athens, TN",USA,1991,"High school degree or equivalent (e.g., GED)",Male,Pushups,Pushing yourself off the floor and repeating multiple times. ,I feel slightly hindered.,Walking,"Walking at a brisk pace for at least thirty minutes, or for a number of miles. ",I feel slightly hindered.,Solo,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q8}} offers a much more novelty than {{Q5}}.,Both admit roughly the same amount of creativity.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,Both involve my body to a roughly equal extent.,{{Q8}} permits much more control than {{Q5}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,01/24/2018 04:14:50 PM,01/24/2018 04:17:26 PM,,,,,,"Chicago, IL",USA,1983,Bachelor degree,Female,Rowing,Sweep rowing,I do not feel hindered or do not have a physical disability.,Gym,Treadmill,I feel slightly hindered.,Group,Solo,Competent amateur,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q5}} is much more predictable than {{Q8}}.,Both offer roughly equal novelty.,{{Q8}} admits somewhat more creativity than {{Q5}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,
,,01/24/2018 04:01:19 PM,01/24/2018 04:22:28 PM,,,,,,"Chennai, Tamil Nadu",India,1988,Bachelor degree,Male,Martial Arts,Martial Arts I use to practice Karate Every 3 or 4 Times a week and run daily in the ground,I do not feel hindered or do not have a physical disability.,Cricket,Weekends I use to play Cricket in Cricket ball,I do not feel hindered or do not have a physical disability.,Solo,Group,Expert or professional,Competent amateur,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a much more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q5}} involves much more of my body than {{Q8}}.,Both admit roughly equal control.,,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
